Name;Rarity;Physical Description;Type;Durability;Damage Threshold;Natural Properties;Ammunition;Weapon Properties;Armor Properties;Shield Properties
Abyssal Bloodiron;very;Tainted metal harvested from the earth of the Abyss, where cataclysmic battles have been waged for eons and the earth has been saturated with iron, blood, and spent magic. It is mined from thin deposits of mixed blood and ferrous mineral, compacted over the years, then forged at a low temperature to preserve its innate powers. Weapons forges of the metal usually appear dark except for their cutting edges, which are as red as freshly spilled blood. ;Metal;The AC or DC required to destroy an object made with Abyssal Bloodiron is 19.;An object made of Abyssal Bloodiron is considered a resiliant object and has a damage threshold of 15.;Objects made of Abyssal Bloodiron radiate an aura of menace, granting the user advantage on Charisma(Intimidation) checks to frighten or coerce creatures.;Ammunition made of Abyssal Bloodiron counts a roll of a 19 or 20 as a critical hit.;A melee weapon made of Abyssal Bloodiron counts a roll of a 19 or 20 as a critical hit.;No Additional Properties;A shield made of Abyssal Bloodiron counts a roll of a 19 or 20 as a critical hit.
Adamantine;very;Possessing a dark, non-reflective surface and suprising density, adamantine can weather blows that would crush any lesser metal. In contests of force, adamantine surpasses almost every other substance and emerges unblemished.;Metal;The AC or DC required to destroy an object made with Adamantine is 24.;An Adamantine object is considered a resiliant object and has a damage threshold of 30.;Objects made of Adamantine weigh 1.5 times as much as comparable objects.;Critical hits scored with Adamantine ammunition add an additional die of damage (This die is not doubled).;Critical hits scored with Adamantine melee weapons add an additional die of damage (This die is not doubled). Adamantine melee weapons with the Heavy or Versatile properties gain the 'Siege Weapon' property.;When a critical hit is made against a creature wearing adamantine armor, it becomes a normal hit. Adamantine, Celestial Steel or Obdurium weapons ignore this trait.;A critical hit with an adamantine shield deals an additional die of damage. (This die is not doubled)
Aerocrystal;uncommon;Found primarily deep underground this material is a light blue, glass-like crystal known for creating quick, precise weapons.;Crystal;The AC or DC required to destroy an object made with Aerocrystal is 14.;An Aerocrystal object is considered a fragile object and has a damage threshold of 10.;Objects made of Aerocrystal weigh half as much as comparable objects.;When ammunition made of this material is fired it is destroyed and is non-recoverable.;Melee weapons that are made of Aerocrystal that don't have the Heavy property, gain the Finesse property.;Armor made of aerocrystal does not have a strength requirement.;Shields made of aerocrystal have no strength requirement.
Alchemical Silver;uncommon;A complex process involving metallurgy and alchemy can bond silver to a object made of steel so that it bypasses the damage reduction of creatures such as fiends and shapechangers. Such Alchemical Silver weapons are more durable and effective than those made of pure silver while retaining Silver's anathematic properties;Metal;The AC or DC required to destroy an object made with Alchemical Silver is 19.;An object made of Alchemical Silver is considered a resiliant object and has a damage threshold of 15.;Objects made of Alchemical Silver are toxic to Fiends and Shapechangers causing them great discomfort if they are within 5ft of the object. If a Fiend, or Shapechanger comes into contact with a Alchemical Silver object they suffer 1d8 damage per round of contact and are unable to use any Regeneration feature on their next turn.;Ammunition made of Alchemical Silver count as magical for the purposes of overcoming the damage resistances of Fiends and Shapechangers and they deal a bonus 1d8 damage to those creatures, they are also unable to use any Regeneration feature on their next turn.;Melee weapons made of Alchemical Silver count as magical weapons for the purposes of overcoming the damage resistances of Fiends and Shapechangers and it deals a bonus 1d8 damage to those creatures, they are also unable to use any Regeneration feature on their next turn.;Fiends or Shapechangers that attempt to grapple a creature wearing armor made of Alchemical Silver are dealt 1d8 damage and are unable to use any Regeneration feature on their next turn. (Striking a creature wearing Alchemical Silver armor does not provoke these effects unless the attack is made with either a claw, bite, tail or other appendage);Shields made of Alchemical Silver count as magical weapons for the purposes of overcoming the damage resistances of Fiends and Shapechangers They also are unable to use any Regeneration feature on their next turn.
Astral Driftmetal;extremely;An extraordinarily rare mineral that is mined only on Tu'narath and other islands of matter floating in the Astral Plane. It is very similar to iron but has the remarkable feature of being fully effective against incorporeal attacks, as though it were made of pure force. Astral driftmetal is not malleable enough to be worked into chainmail.;Metal;The AC or DC required to destroy an object made with Astral Driftmetal is 19.;An object made of Astral Driftmetal is considered a resiliant object and has a damage threshold of 15.;Objects and barriers made of Astral Driftmetal are impassable to incoporeal creatures and those in the Ethereal or Border Ethereal Planes.;Ammunition made of Astral Driftmetal deal an extra 1d12 force damage against incoporeal creatures. (Your DM will determine which creatures are affected by this property);Melee weapons made of Astral Driftmetal deal an extra 1d12 force damage against incoporeal creatures. (Your DM will determine which creatures are affected by this property);Creatures wearing armor made completely of Astral Driftmetal cannot be possessed or affected by a similar effect. Additionally incoporeal creatures have disadvantage on attacks against the creature. (Your DM will determine which creatures are affected by this property);Incoporeal creatures have disadvantage on attacks against a creature wearing a shield made of Astral Driftmetal. (Your DM will determine which creatures are affected by this property)
Aurorum;very;Found only in the Giant's Belt Mountains in the Beastlands, this luminous steel gleams with varying hues of pink and indigo.;Metal;The AC or DC required to destroy an object made with Aurorum is 19.;An object made of Aurorum is considered a resiliant object and has a damage threshold of 15.;Objects made of Aurorum that have been sundered can be reformed by bringing together its fragments. The broken pieces bond quickly and seamlessly, restoring the object to its previous pristine condition.;All ammunition made of Aurorum can be successfully recovered with a DC 15 Intelligence(Investigation) check. (Your DM might increase or lower this DC dependant on the location or circumstances);No Additional Properties;No Additional Properties;No Additional Properties
Baatorian Green Steel;extremely;Mined from the evil tainted mines of the Nine Hells of Baator, this rare metal is veined with green flecks. When alloyed into steel it creates weapons of amazing sharpness.;Metal;The AC or DC required to destroy an object made with Baatorian Green Steel is 20.;An object made of Baatorian Green Steel is considered a resiliant object and has a damage threshold of 17.;Tasks that require the cutting edge of a Baatorian Green Steel blade can be completed in half the time. Examples include cutting through a wall of vines, or sawing through a wooden board.;Ammunition made of Baatorian Green Steel ignores resistances and immunities to piercing damage, cannot have their damage reduced by any means and deal an extra 1d6 piercing damage. (Any damage dealt by the ammunition that is not piercing damage is still reduced accordingly);Melee slashing and piercing weapons made of Baatorian Green Steel ignore resistances and immunities to their respective types of damage, cannot have their damage reduced by any means and deal an extra 1d6 damage of their type. (Any damage dealt by the weapon that is not slashing or piercing damage is still reduced accordingly);No Additional Properties;Bladed shields made with green steel ignore resistances and immunities to slashing damage and cannot have their damage reduced by any means. (Any damage dealt by the shield that is not slashing damage is still reduced accordingly)
Beast Feathers;common;This material can be found on almost any plane. Hyppogriffs, rocs, phoenixes and other flying creatures have beautiful feathers used to show their majesty.;Creature Part;The AC or DC required to destroy an object made with Beast Feathers is 11.;An object made of Beast Feathers is considered a fragile object and has no damage threshold.;While wearing a cape, clothing or armor created with beast feathers, you have advantage on any animal handling checks. Additionally depending on the creature the feathers are from the clothing might benefit from one of the creature's damage resistances. (At your DM's discretion); Inapplicable; Inapplicable;No Additional Properties; Inapplicable
Bone;common;Bone equipment is often employed by primitive cultures which are still restricted to stone age technologies. Bone becomes brittle over time and makes a poor slashing weapon, but it retains its piercing qualities for much longer. Bone armor, fashioned from a hodge-podge collection of rib bones, a skull for a helmet, and other bones, fastened together or sewn into a leather coat and pants, can make for crude, though effective, armor. ;Creature Part;The AC or DC required to destroy an object made with Bone is 15.;An object made of Bone is considered a resiliant object and has no damage threshold.;No Additional Properties;All damage dealt with ammunition made of Bone is reduced by 2. (This effect does not stack if a Bone ranged weapon or something similar);All damage dealt with a weapon made of Bone is reduced by 2. (This effect does not stack if using Bone arrows or something similar);You have advantage on Intimidation checks made while wearing armor made of Bone, but its base AC is reduced by 2.;All damage dealt with a shield made of Bone is reduced by 2.
Bronze;common;Weapons of bronze are inferior to steel objects. They are commonly crafted by creating an alloy of copper, zinc and tin. The addition of arsenic makes the bronze even harder and more durable. Bronze resists corrosion and metal fatigue better than steel, but because it is softer than steel it requires more frequent repairs when employed as a weapon or in armor.;Metal;The AC or DC required to destroy an object made with Bronze is 16.;An object made of Bronze is considered a resiliant object and has no damage threshold.;No Additional Properties;All damage dealt with ammunition made of Bronze is reduced by 1. (This effect does not stack if using a Bronze ranged weapon or something similar);All damage dealt with a weapon made of Bronze is reduced by 1. (This effect does not stack if using Bronze arrows or something similar);Armor made of Bronze has its base AC reduced by 1.;No Additional Properties
